index,name,lr,wd,cap,batch,neigh
189,c189_lr0p0001_wd1em06_capdefault_batch512_neigh10_seed0,0.0001,1e-06,default,512,10
190,c190_lr0p0001_wd1em06_capdefault_batch512_neigh20_seed0,0.0001,1e-06,default,512,20
191,c191_lr0p0001_wd1em06_capdefault_batch512_neigh50_seed0,0.0001,1e-06,default,512,50
192,c192_lr0p0001_wd1em06_capdefault_batch1024_neigh10_seed0,0.0001,1e-06,default,1024,10
193,c193_lr0p0001_wd1em06_capdefault_batch1024_neigh20_seed0,0.0001,1e-06,default,1024,20
194,c194_lr0p0001_wd1em06_capdefault_batch1024_neigh50_seed0,0.0001,1e-06,default,1024,50
195,c195_lr0p0001_wd1em06_capdefault_batch2048_neigh10_seed0,0.0001,1e-06,default,2048,10
196,c196_lr0p0001_wd1em06_capdefault_batch2048_neigh20_seed0,0.0001,1e-06,default,2048,20
197,c197_lr0p0001_wd1em06_capdefault_batch2048_neigh50_seed0,0.0001,1e-06,default,2048,50
198,c198_lr0p0001_wd1em06_capmedium_batch512_neigh10_seed0,0.0001,1e-06,medium,512,10
199,c199_lr0p0001_wd1em06_capmedium_batch512_neigh20_seed0,0.0001,1e-06,medium,512,20
200,c200_lr0p0001_wd1em06_capmedium_batch512_neigh50_seed0,0.0001,1e-06,medium,512,50
201,c201_lr0p0001_wd1em06_capmedium_batch1024_neigh10_seed0,0.0001,1e-06,medium,1024,10
202,c202_lr0p0001_wd1em06_capmedium_batch1024_neigh20_seed0,0.0001,1e-06,medium,1024,20
203,c203_lr0p0001_wd1em06_capmedium_batch1024_neigh50_seed0,0.0001,1e-06,medium,1024,50
204,c204_lr0p0001_wd1em06_capmedium_batch2048_neigh10_seed0,0.0001,1e-06,medium,2048,10
205,c205_lr0p0001_wd1em06_capmedium_batch2048_neigh20_seed0,0.0001,1e-06,medium,2048,20
206,c206_lr0p0001_wd1em06_capmedium_batch2048_neigh50_seed0,0.0001,1e-06,medium,2048,50
207,c207_lr0p0001_wd1em06_caplarge_batch512_neigh10_seed0,0.0001,1e-06,large,512,10
208,c208_lr0p0001_wd1em06_caplarge_batch512_neigh20_seed0,0.0001,1e-06,large,512,20
